Method,Mean ± STD (STFT),Mean ± STD (SLT),p vs STFT,r vs STFT,Reduction vs STFT (%)
SLT1,0.330 ± 0.132,0.300 ± 0.157,0.046875,0.7666518779999278,13.0551845561192
SLT2,0.330 ± 0.132,0.312 ± 0.146,0.046875,0.7666518779999278,7.606645126684972
SLT3,0.330 ± 0.132,0.362 ± 0.130,0.015625,0.8944271909999159,-11.58270417255145
