Method,Mean ± STD (CWT),Mean ± STD (SLT),p vs CWT,r vs CWT,Reduction vs CWT (%)
SLT1,6.349 ± 1.028,6.315 ± 0.465,0.6875,0.19166296949998196,-1.323097348244089
SLT2,6.349 ± 1.028,5.114 ± 0.397,0.03125,0.8305395344999218,17.05265139815996
SLT3,6.349 ± 1.028,5.716 ± 1.640,0.8125,0.12777531299998796,3.9582797247127917
